sampleID	isIncluded	subjectID	measurementID	perturbID	exptblock	intv	intv2
sample0	1	0	0.0	0	1	-1	-1
sample1	1	0	1.0	0	1	-1	-1
sample2	1	0	2.0	0	1	-1	-1
sample3	1	0	3.0	0	1	-1	-1
sample4	1	0	4.0	0	1	-1	-1
sample5	1	0	5.0	0	1	-1	-1
sample6	1	0	6.0	0	1	-1	-1
sample7	1	0	7.0	0	1	-1	-1
sample8	1	0	8.0	0	1	-1	-1
sample9	1	0	9.0	0	1	-1	-1
sample10	1	0	10.0	0	1	-1	-1
sample11	1	0	11.0	0	1	-1	-1
sample12	1	0	12.0	0	1	-1	-1
sample13	1	0	13.0	0	1	-1	-1
sample14	1	0	14.0	0	1	-1	-1
sample15	1	0	15.0	0	1	-1	-1
sample16	1	0	16.0	0	1	-1	-1
sample17	1	0	17.0	0	1	-1	-1
sample18	1	0	18.0	0	1	-1	-1
sample19	1	0	19.0	0	1	-1	-1
sample20	1	0	20.0	0	1	-1	-1
sample21	1	0	21.0	0	1	-1	-1
sample22	1	0	22.0	0	1	-1	-1
sample23	1	0	23.0	0	1	-1	-1
sample24	1	0	24.0	0	1	-1	-1
sample25	1	0	25.0	0	1	-1	-1
sample26	1	0	26.0	0	1	-1	-1
sample27	1	0	27.0	0	1	-1	-1
sample28	1	0	28.0	0	1	-1	-1
sample29	1	0	29.0	0	1	-1	-1
sample30	1	0	30.0	0	1	-1	-1
sample31	1	0	31.0	0	1	-1	-1
sample32	1	0	32.0	0	1	-1	-1
sample33	1	0	33.0	0	1	-1	-1
sample34	1	0	34.0	0	1	-1	-1
sample35	1	0	35.0	0	1	-1	-1
sample36	1	0	36.0	0	1	-1	-1
sample37	1	0	37.0	0	1	-1	-1
sample38	1	0	38.0	0	1	-1	-1
sample39	1	0	39.0	0	1	-1	-1
sample40	1	0	40.0	0	1	-1	-1
sample41	1	0	41.0	0	1	-1	-1
sample42	1	0	42.0	0	1	-1	-1
sample43	1	0	43.0	0	1	-1	-1
sample44	1	0	44.0	0	1	-1	-1
sample45	1	0	45.0	0	1	-1	-1
sample46	1	0	46.0	0	1	-1	-1
sample47	1	0	47.0	0	1	-1	-1
sample48	1	0	48.0	0	1	-1	-1
sample49	1	0	49.0	0	1	-1	-1
sample50	1	0	50.0	0	1	-1	-1
sample51	1	0	51.0	0	1	-1	-1
sample52	1	0	52.0	0	1	-1	-1
sample53	1	0	53.0	0	1	-1	-1
sample54	1	0	54.0	0	1	-1	-1
sample55	1	0	55.0	0	1	-1	-1
sample56	1	0	56.0	0	1	-1	-1
sample57	1	0	57.0	0	1	-1	-1
sample58	1	0	58.0	0	1	-1	-1
sample59	1	0	59.0	0	1	-1	-1
sample60	1	0	60.0	0	1	-1	-1
sample61	1	0	61.0	0	1	-1	-1
sample62	1	0	62.0	0	1	-1	-1
sample63	1	0	63.0	0	1	-1	-1
sample64	1	0	64.0	0	1	-1	-1
sample65	1	0	65.0	0	1	-1	-1
sample66	1	0	66.0	0	1	-1	-1
sample67	1	0	67.0	0	1	-1	-1
sample68	1	0	68.0	0	1	-1	-1
sample69	1	0	69.0	0	1	-1	-1
sample70	1	0	70.0	0	1	-1	-1
sample71	1	0	71.0	0	1	-1	-1
sample72	1	0	72.0	0	1	-1	-1
sample73	1	0	73.0	0	1	-1	-1
sample74	1	0	74.0	0	1	-1	-1
sample75	1	0	75.0	0	1	-1	-1
sample76	1	0	76.0	0	1	-1	-1
sample77	1	0	77.0	0	1	-1	-1
sample78	1	0	78.0	0	1	-1	-1
sample79	1	0	79.0	0	1	-1	-1
sample80	1	0	80.0	0	1	-1	-1
sample81	1	0	81.0	0	1	-1	-1
sample82	1	0	82.0	0	1	-1	-1
sample83	1	0	83.0	0	1	-1	-1
sample84	1	0	84.0	0	1	-1	-1
sample85	1	0	85.0	0	1	-1	-1
sample86	1	0	86.0	0	1	-1	-1
sample87	1	0	87.0	0	1	-1	-1
sample88	1	0	88.0	0	1	-1	-1
sample89	1	0	89.0	0	1	-1	-1
sample90	1	0	90.0	0	1	-1	-1
sample91	1	0	91.0	0	1	-1	-1
sample92	1	0	92.0	0	1	-1	-1
sample93	1	0	93.0	0	1	-1	-1
sample94	1	0	94.0	0	1	-1	-1
sample95	1	0	95.0	0	1	-1	-1
sample96	1	0	96.0	0	1	-1	-1
sample97	1	0	97.0	0	1	-1	-1
sample98	1	0	98.0	0	1	-1	-1
sample99	1	0	99.0	0	1	-1	-1
sample100	1	1	0.0	0	1	-1	-1
sample101	1	1	1.0	0	1	-1	-1
sample102	1	1	2.0	0	1	-1	-1
sample103	1	1	3.0	0	1	-1	-1
sample104	1	1	4.0	0	1	-1	-1
sample105	1	1	5.0	0	1	-1	-1
sample106	1	1	6.0	0	1	-1	-1
sample107	1	1	7.0	0	1	-1	-1
sample108	1	1	8.0	0	1	-1	-1
sample109	1	1	9.0	0	1	-1	-1
sample110	1	1	10.0	0	1	-1	-1
sample111	1	1	11.0	0	1	-1	-1
sample112	1	1	12.0	0	1	-1	-1
sample113	1	1	13.0	0	1	-1	-1
sample114	1	1	14.0	0	1	-1	-1
sample115	1	1	15.0	0	1	-1	-1
sample116	1	1	16.0	0	1	-1	-1
sample117	1	1	17.0	0	1	-1	-1
sample118	1	1	18.0	0	1	-1	-1
sample119	1	1	19.0	0	1	-1	-1
sample120	1	1	20.0	0	1	-1	-1
sample121	1	1	21.0	0	1	-1	-1
sample122	1	1	22.0	0	1	-1	-1
sample123	1	1	23.0	0	1	-1	-1
sample124	1	1	24.0	0	1	-1	-1
sample125	1	1	25.0	0	1	-1	-1
sample126	1	1	26.0	0	1	-1	-1
sample127	1	1	27.0	0	1	-1	-1
sample128	1	1	28.0	0	1	-1	-1
sample129	1	1	29.0	0	1	-1	-1
sample130	1	1	30.0	0	1	-1	-1
sample131	1	1	31.0	0	1	-1	-1
sample132	1	1	32.0	0	1	-1	-1
sample133	1	1	33.0	0	1	-1	-1
sample134	1	1	34.0	0	1	-1	-1
sample135	1	1	35.0	0	1	-1	-1
sample136	1	1	36.0	0	1	-1	-1
sample137	1	1	37.0	0	1	-1	-1
sample138	1	1	38.0	0	1	-1	-1
sample139	1	1	39.0	0	1	-1	-1
sample140	1	1	40.0	0	1	-1	-1
sample141	1	1	41.0	0	1	-1	-1
sample142	1	1	42.0	0	1	-1	-1
sample143	1	1	43.0	0	1	-1	-1
sample144	1	1	44.0	0	1	-1	-1
sample145	1	1	45.0	0	1	-1	-1
sample146	1	1	46.0	0	1	-1	-1
sample147	1	1	47.0	0	1	-1	-1
sample148	1	1	48.0	0	1	-1	-1
sample149	1	1	49.0	0	1	-1	-1
sample150	1	1	50.0	0	1	-1	-1
sample151	1	1	51.0	0	1	-1	-1
sample152	1	1	52.0	0	1	-1	-1
sample153	1	1	53.0	0	1	-1	-1
sample154	1	1	54.0	0	1	-1	-1
sample155	1	1	55.0	0	1	-1	-1
sample156	1	1	56.0	0	1	-1	-1
sample157	1	1	57.0	0	1	-1	-1
sample158	1	1	58.0	0	1	-1	-1
sample159	1	1	59.0	0	1	-1	-1
sample160	1	1	60.0	0	1	-1	-1
sample161	1	1	61.0	0	1	-1	-1
sample162	1	1	62.0	0	1	-1	-1
sample163	1	1	63.0	0	1	-1	-1
sample164	1	1	64.0	0	1	-1	-1
sample165	1	1	65.0	0	1	-1	-1
sample166	1	1	66.0	0	1	-1	-1
sample167	1	1	67.0	0	1	-1	-1
sample168	1	1	68.0	0	1	-1	-1
sample169	1	1	69.0	0	1	-1	-1
sample170	1	1	70.0	0	1	-1	-1
sample171	1	1	71.0	0	1	-1	-1
sample172	1	1	72.0	0	1	-1	-1
sample173	1	1	73.0	0	1	-1	-1
sample174	1	1	74.0	0	1	-1	-1
sample175	1	1	75.0	0	1	-1	-1
sample176	1	1	76.0	0	1	-1	-1
sample177	1	1	77.0	0	1	-1	-1
sample178	1	1	78.0	0	1	-1	-1
sample179	1	1	79.0	0	1	-1	-1
sample180	1	1	80.0	0	1	-1	-1
sample181	1	1	81.0	0	1	-1	-1
sample182	1	1	82.0	0	1	-1	-1
sample183	1	1	83.0	0	1	-1	-1
sample184	1	1	84.0	0	1	-1	-1
sample185	1	1	85.0	0	1	-1	-1
sample186	1	1	86.0	0	1	-1	-1
sample187	1	1	87.0	0	1	-1	-1
sample188	1	1	88.0	0	1	-1	-1
sample189	1	1	89.0	0	1	-1	-1
sample190	1	1	90.0	0	1	-1	-1
sample191	1	1	91.0	0	1	-1	-1
sample192	1	1	92.0	0	1	-1	-1
sample193	1	1	93.0	0	1	-1	-1
sample194	1	1	94.0	0	1	-1	-1
sample195	1	1	95.0	0	1	-1	-1
sample196	1	1	96.0	0	1	-1	-1
sample197	1	1	97.0	0	1	-1	-1
sample198	1	1	98.0	0	1	-1	-1
sample199	1	1	99.0	0	1	-1	-1
sample200	1	2	0.0	0	1	-1	-1
sample201	1	2	1.0	0	1	-1	-1
sample202	1	2	2.0	0	1	-1	-1
sample203	1	2	3.0	0	1	-1	-1
sample204	1	2	4.0	0	1	-1	-1
sample205	1	2	5.0	0	1	-1	-1
sample206	1	2	6.0	0	1	-1	-1
sample207	1	2	7.0	0	1	-1	-1
sample208	1	2	8.0	0	1	-1	-1
sample209	1	2	9.0	0	1	-1	-1
sample210	1	2	10.0	0	1	-1	-1
sample211	1	2	11.0	0	1	-1	-1
sample212	1	2	12.0	0	1	-1	-1
sample213	1	2	13.0	0	1	-1	-1
sample214	1	2	14.0	0	1	-1	-1
sample215	1	2	15.0	0	1	-1	-1
sample216	1	2	16.0	0	1	-1	-1
sample217	1	2	17.0	0	1	-1	-1
sample218	1	2	18.0	0	1	-1	-1
sample219	1	2	19.0	0	1	-1	-1
sample220	1	2	20.0	0	1	-1	-1
sample221	1	2	21.0	0	1	-1	-1
sample222	1	2	22.0	0	1	-1	-1
sample223	1	2	23.0	0	1	-1	-1
sample224	1	2	24.0	0	1	-1	-1
sample225	1	2	25.0	0	1	-1	-1
sample226	1	2	26.0	0	1	-1	-1
sample227	1	2	27.0	0	1	-1	-1
sample228	1	2	28.0	0	1	-1	-1
sample229	1	2	29.0	0	1	-1	-1
sample230	1	2	30.0	0	1	-1	-1
sample231	1	2	31.0	0	1	-1	-1
sample232	1	2	32.0	0	1	-1	-1
sample233	1	2	33.0	0	1	-1	-1
sample234	1	2	34.0	0	1	-1	-1
sample235	1	2	35.0	0	1	-1	-1
sample236	1	2	36.0	0	1	-1	-1
sample237	1	2	37.0	0	1	-1	-1
sample238	1	2	38.0	0	1	-1	-1
sample239	1	2	39.0	0	1	-1	-1
sample240	1	2	40.0	0	1	-1	-1
sample241	1	2	41.0	0	1	-1	-1
sample242	1	2	42.0	0	1	-1	-1
sample243	1	2	43.0	0	1	-1	-1
sample244	1	2	44.0	0	1	-1	-1
sample245	1	2	45.0	0	1	-1	-1
sample246	1	2	46.0	0	1	-1	-1
sample247	1	2	47.0	0	1	-1	-1
sample248	1	2	48.0	0	1	-1	-1
sample249	1	2	49.0	0	1	-1	-1
sample250	1	2	50.0	0	1	-1	-1
sample251	1	2	51.0	0	1	-1	-1
sample252	1	2	52.0	0	1	-1	-1
sample253	1	2	53.0	0	1	-1	-1
sample254	1	2	54.0	0	1	-1	-1
sample255	1	2	55.0	0	1	-1	-1
sample256	1	2	56.0	0	1	-1	-1
sample257	1	2	57.0	0	1	-1	-1
sample258	1	2	58.0	0	1	-1	-1
sample259	1	2	59.0	0	1	-1	-1
sample260	1	2	60.0	0	1	-1	-1
sample261	1	2	61.0	0	1	-1	-1
sample262	1	2	62.0	0	1	-1	-1
sample263	1	2	63.0	0	1	-1	-1
sample264	1	2	64.0	0	1	-1	-1
sample265	1	2	65.0	0	1	-1	-1
sample266	1	2	66.0	0	1	-1	-1
sample267	1	2	67.0	0	1	-1	-1
sample268	1	2	68.0	0	1	-1	-1
sample269	1	2	69.0	0	1	-1	-1
sample270	1	2	70.0	0	1	-1	-1
sample271	1	2	71.0	0	1	-1	-1
sample272	1	2	72.0	0	1	-1	-1
sample273	1	2	73.0	0	1	-1	-1
sample274	1	2	74.0	0	1	-1	-1
sample275	1	2	75.0	0	1	-1	-1
sample276	1	2	76.0	0	1	-1	-1
sample277	1	2	77.0	0	1	-1	-1
sample278	1	2	78.0	0	1	-1	-1
sample279	1	2	79.0	0	1	-1	-1
sample280	1	2	80.0	0	1	-1	-1
sample281	1	2	81.0	0	1	-1	-1
sample282	1	2	82.0	0	1	-1	-1
sample283	1	2	83.0	0	1	-1	-1
sample284	1	2	84.0	0	1	-1	-1
sample285	1	2	85.0	0	1	-1	-1
sample286	1	2	86.0	0	1	-1	-1
sample287	1	2	87.0	0	1	-1	-1
sample288	1	2	88.0	0	1	-1	-1
sample289	1	2	89.0	0	1	-1	-1
sample290	1	2	90.0	0	1	-1	-1
sample291	1	2	91.0	0	1	-1	-1
sample292	1	2	92.0	0	1	-1	-1
