sampleID	subjectID	timepoint
sample0	0	0.0
sample1	0	1.0
sample2	0	2.0
sample3	0	3.0
sample4	0	4.0
sample5	0	5.0
sample6	0	6.0
sample7	0	7.0
sample8	0	8.0
sample9	0	9.0
sample10	0	10.0
sample11	0	11.0
sample12	0	12.0
sample13	0	13.0
sample14	0	14.0
sample15	0	15.0
sample16	0	16.0
sample17	0	17.0
sample18	0	18.0
sample19	0	19.0
sample20	0	20.0
sample21	0	21.0
sample22	0	22.0
sample23	0	23.0
sample24	0	24.0
sample25	0	25.0
sample26	0	26.0
sample27	0	27.0
sample28	0	28.0
sample29	0	29.0
sample30	0	30.0
sample31	0	31.0
sample32	0	32.0
sample33	0	33.0
sample34	0	34.0
sample35	0	35.0
sample36	0	36.0
sample37	0	37.0
sample38	0	38.0
sample39	0	39.0
sample40	0	40.0
sample41	0	41.0
sample42	0	42.0
sample43	0	43.0
sample44	0	44.0
sample45	0	45.0
sample46	0	46.0
sample47	0	47.0
sample48	0	48.0
sample49	0	49.0
sample50	0	50.0
sample51	0	51.0
sample52	0	52.0
sample53	0	53.0
sample54	0	54.0
sample55	0	55.0
sample56	0	56.0
sample57	0	57.0
sample58	0	58.0
sample59	0	59.0
sample60	0	60.0
sample61	0	61.0
sample62	0	62.0
sample63	0	63.0
sample64	0	64.0
sample65	0	65.0
sample66	0	66.0
sample67	0	67.0
sample68	0	68.0
sample69	0	69.0
sample70	0	70.0
sample71	0	71.0
sample72	0	72.0
sample73	0	73.0
sample74	0	74.0
sample75	0	75.0
sample76	0	76.0
sample77	0	77.0
sample78	0	78.0
sample79	0	79.0
sample80	0	80.0
sample81	0	81.0
sample82	0	82.0
sample83	0	83.0
sample84	0	84.0
sample85	0	85.0
sample86	0	86.0
sample87	0	87.0
sample88	0	88.0
sample89	0	89.0
sample90	0	90.0
sample91	0	91.0
sample92	0	92.0
sample93	0	93.0
sample94	0	94.0
sample95	0	95.0
sample96	0	96.0
sample97	0	97.0
sample98	0	98.0
sample99	0	99.0
sample100	1	0.0
sample101	1	1.0
sample102	1	2.0
sample103	1	3.0
sample104	1	4.0
sample105	1	5.0
sample106	1	6.0
sample107	1	7.0
sample108	1	8.0
sample109	1	9.0
sample110	1	10.0
sample111	1	11.0
sample112	1	12.0
sample113	1	13.0
sample114	1	14.0
sample115	1	15.0
sample116	1	16.0
sample117	1	17.0
sample118	1	18.0
sample119	1	19.0
sample120	1	20.0
sample121	1	21.0
sample122	1	22.0
sample123	1	23.0
sample124	1	24.0
sample125	1	25.0
sample126	1	26.0
sample127	1	27.0
sample128	1	28.0
sample129	1	29.0
sample130	1	30.0
sample131	1	31.0
sample132	1	32.0
sample133	1	33.0
sample134	1	34.0
sample135	1	35.0
sample136	1	36.0
sample137	1	37.0
